"clip.id"	"folder.file.id"	"start.time"	"url"
"ACP000glde"	"TaiEast_10_loc34_20140709_EK000025"	15	"http://www.chimpandsee.org/subjects/570d0f643fc33c0001bf61ab/570d0f643fc33c0001bf61ab.mp4"
"ACP000gldm"	"TaiEast_10_loc34_20140709_EK000026"	0	"http://www.chimpandsee.org/subjects/570d0f653fc33c0001bf61b3/570d0f653fc33c0001bf61b3.mp4"
"ACP000gle7"	"TaiEast_10_loc34_20140709_EK000028"	15	"http://www.chimpandsee.org/subjects/570d0f663fc33c0001bf61c8/570d0f663fc33c0001bf61c8.mp4"
"ACP000gle9"	"TaiEast_10_loc34_20140709_EK000028"	45	"http://www.chimpandsee.org/subjects/570d0f663fc33c0001bf61ca/570d0f663fc33c0001bf61ca.mp4"
"ACP000gl9u"	"TaiEast_10_loc34_20140709_EK000030"	0	"http://www.chimpandsee.org/subjects/570d0f5c3fc33c0001bf612b/570d0f5c3fc33c0001bf612b.mp4"
"ACP000gl9t"	"TaiEast_10_loc34_20140709_EK000032"	45	"http://www.chimpandsee.org/subjects/570d0f5c3fc33c0001bf612a/570d0f5c3fc33c0001bf612a.mp4"
"ACP000glbe"	"TaiEast_10_loc34_20140709_EK000041"	0	"http://www.chimpandsee.org/subjects/570d0f603fc33c0001bf6163/570d0f603fc33c0001bf6163.mp4"
"ACP000gla5"	"TaiEast_10_loc34_20140709_EK000045"	15	"http://www.chimpandsee.org/subjects/570d0f5d3fc33c0001bf6136/570d0f5d3fc33c0001bf6136.mp4"
"ACP000g86y"	"TaiEast_11_loc60_20140702_EK000011"	0	"http://www.chimpandsee.org/subjects/570d0b743fc33c0001bf1eef/570d0b743fc33c0001bf1eef.mp4"
"ACP000g871"	"TaiEast_11_loc60_20140702_EK000011"	15	"http://www.chimpandsee.org/subjects/570d0b743fc33c0001bf1ef2/570d0b743fc33c0001bf1ef2.mp4"
"ACP000g8a9"	"TaiEast_11_loc60_20140702_EK000012"	0	"http://www.chimpandsee.org/subjects/570d0b7b3fc33c0001bf1f66/570d0b7b3fc33c0001bf1f66.mp4"
"ACP000g8ap"	"TaiEast_11_loc60_20140702_EK000013"	0	"http://www.chimpandsee.org/subjects/570d0b7d3fc33c0001bf1f76/570d0b7d3fc33c0001bf1f76.mp4"
"ACP000g89u"	"TaiEast_11_loc60_20140702_EK000014"	0	"http://www.chimpandsee.org/subjects/570d0b7b3fc33c0001bf1f57/570d0b7b3fc33c0001bf1f57.mp4"
"ACP000g8cx"	"TaiEast_11_loc60_20140702_EK000015"	0	"http://www.chimpandsee.org/subjects/570d0b813fc33c0001bf1fc6/570d0b813fc33c0001bf1fc6.mp4"
"ACP000g8ca"	"TaiEast_11_loc60_20140702_EK000022"	0	"http://www.chimpandsee.org/subjects/570d0b803fc33c0001bf1faf/570d0b803fc33c0001bf1faf.mp4"
"ACP000g8ch"	"TaiEast_11_loc60_20140702_EK000026"	0	"http://www.chimpandsee.org/subjects/570d0b803fc33c0001bf1fb6/570d0b803fc33c0001bf1fb6.mp4"
"ACP000g88p"	"TaiEast_11_loc60_20140702_EK000027"	0	"http://www.chimpandsee.org/subjects/570d0b783fc33c0001bf1f2e/570d0b783fc33c0001bf1f2e.mp4"
"ACP000g8a1"	"TaiEast_11_loc60_20140702_EK000029"	0	"http://www.chimpandsee.org/subjects/570d0b7b3fc33c0001bf1f5e/570d0b7b3fc33c0001bf1f5e.mp4"
"ACP000g87l"	"TaiEast_11_loc60_20140702_EK000033"	0	"http://www.chimpandsee.org/subjects/570d0b763fc33c0001bf1f06/570d0b763fc33c0001bf1f06.mp4"
"ACP000g86d"	"TaiEast_11_loc60_20140702_EK000037"	0	"http://www.chimpandsee.org/subjects/570d0b733fc33c0001bf1eda/570d0b733fc33c0001bf1eda.mp4"
"ACP000g869"	"TaiEast_11_loc60_20140702_EK000043"	0	"http://www.chimpandsee.org/subjects/570d0b733fc33c0001bf1ed6/570d0b733fc33c0001bf1ed6.mp4"
"ACP000g8a4"	"TaiEast_11_loc60_20140702_EK000046"	15	"http://www.chimpandsee.org/subjects/570d0b7b3fc33c0001bf1f61/570d0b7b3fc33c0001bf1f61.mp4"
